epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.08773,2.1883,2.78267,1.96895,0.00549,1,0.25209,0.15138,1.16601,2.49809,1.03128,0.0004,0.0004,0.0004
2,6.1451,1.67187,2.70113,1.60708,0.00464,1,0.48243,0.27181,1.17041,2.63972,1.24367,0.000811882,0.000811882,0.000811882
3,8.18994,1.56364,2.67245,1.54621,0.00422,0.9,0.38164,0.16864,1.56529,2.62176,1.53528,0.00121545,0.00121545,0.00121545
4,10.2494,1.52193,2.45928,1.49731,0.18648,0.1,0.24709,0.13937,2.05498,2.45349,1.83664,0.0016107,0.0016107,0.0016107
5,12.3505,1.71438,2.34617,1.5625,0.18648,0.1,0.24709,0.13937,2.05498,2.45349,1.83664,0.0019208,0.0019208,0.0019208
6,14.3869,1.67564,2.30845,1.57043,0.2418,0.5,0.20301,0.06162,2.21491,2.43884,1.9738,0.001901,0.001901,0.001901
7,16.4889,1.85364,2.20562,1.69841,0.83978,0.3,0.39039,0.13084,2.11482,2.06433,2.10887,0.0018812,0.0018812,0.0018812
8,18.7116,1.7845,2.16013,1.65333,0.83978,0.3,0.39039,0.13084,2.11482,2.06433,2.10887,0.0018614,0.0018614,0.0018614
9,20.8598,1.85929,2.06943,1.70688,0.36971,0.3,0.23978,0.0819,1.90221,2.69183,1.96787,0.0018416,0.0018416,0.0018416
10,23.0114,1.85195,2.09243,1.78588,0.15681,0.6,0.14754,0.04562,2.33324,2.63664,2.50029,0.0018218,0.0018218,0.0018218
11,25.025,1.68581,1.86455,1.61311,0.15681,0.6,0.14754,0.04562,2.33324,2.63664,2.50029,0.001802,0.001802,0.001802
12,27.2221,1.63614,1.80214,1.60662,0.66569,0.3,0.44368,0.13239,2.27197,4.5061,2.52451,0.0017822,0.0017822,0.0017822
13,29.3272,1.72723,1.93227,1.69552,0.30405,0.5,0.25227,0.09632,2.17243,2.98236,2.08749,0.0017624,0.0017624,0.0017624
14,31.4633,1.67264,1.7935,1.58339,0.30405,0.5,0.25227,0.09632,2.17243,2.98236,2.08749,0.0017426,0.0017426,0.0017426
15,33.5247,1.65527,1.77271,1.59998,0.38741,0.4,0.39931,0.16032,1.85035,1.97657,1.82745,0.0017228,0.0017228,0.0017228
16,35.5293,1.6193,1.6832,1.5369,0.468,0.4,0.39835,0.12948,2.05348,2.24826,1.88178,0.001703,0.001703,0.001703
17,37.5796,1.66999,1.74758,1.56575,0.468,0.4,0.39835,0.12948,2.05348,2.24826,1.88178,0.0016832,0.0016832,0.0016832
18,39.7624,1.68545,2.09061,1.55365,0.47689,0.5,0.39142,0.18579,1.81226,2.09091,1.62892,0.0016634,0.0016634,0.0016634
19,41.8938,1.66337,1.68278,1.53129,0.84985,0.4,0.59045,0.34898,1.63532,1.95689,1.58745,0.0016436,0.0016436,0.0016436
20,44.0435,1.63599,1.75663,1.57015,0.84985,0.4,0.59045,0.34898,1.63532,1.95689,1.58745,0.0016238,0.0016238,0.0016238
21,46.2326,1.47219,1.50361,1.49098,0.60519,0.6,0.52957,0.28581,1.75553,2.46964,1.58104,0.001604,0.001604,0.001604
22,48.3361,1.48227,1.63184,1.48374,0.60519,0.6,0.52957,0.28581,1.75553,2.46964,1.58104,0.0015842,0.0015842,0.0015842
23,50.5145,1.46935,1.62866,1.46282,0.42982,0.7,0.49798,0.21433,1.93019,2.56621,1.71127,0.0015644,0.0015644,0.0015644
24,52.6085,1.43122,1.58651,1.49344,0.37914,0.5,0.45303,0.20319,1.96335,2.69506,1.74239,0.0015446,0.0015446,0.0015446
25,54.6469,1.51339,1.55398,1.50673,0.37914,0.5,0.45303,0.20319,1.96335,2.69506,1.74239,0.0015248,0.0015248,0.0015248
26,56.7138,1.41987,1.58821,1.47286,0.66935,0.5,0.54736,0.3206,1.76149,2.11871,1.66493,0.001505,0.001505,0.001505
27,58.8716,1.41791,1.51238,1.42832,0.69681,0.5,0.62108,0.32,1.77546,1.99053,1.66926,0.0014852,0.0014852,0.0014852
28,61.0139,1.40883,1.41986,1.39187,0.69681,0.5,0.62108,0.32,1.77546,1.99053,1.66926,0.0014654,0.0014654,0.0014654
29,63.2747,1.41871,1.47576,1.43374,0.42035,0.6,0.555,0.28159,1.84154,1.91604,1.74611,0.0014456,0.0014456,0.0014456
30,65.3856,1.32973,1.44864,1.34506,0.56125,0.4,0.45185,0.22675,1.8057,2.00153,1.69766,0.0014258,0.0014258,0.0014258
31,67.4949,1.36903,1.4797,1.42252,0.56125,0.4,0.45185,0.22675,1.8057,2.00153,1.69766,0.001406,0.001406,0.001406
32,69.6665,1.33343,1.30909,1.34213,0.4517,0.49478,0.48326,0.27525,1.84714,1.78337,1.80377,0.0013862,0.0013862,0.0013862
33,71.8763,1.48237,1.45382,1.44257,0.85685,0.59877,0.62612,0.3054,2.10188,1.56399,2.21429,0.0013664,0.0013664,0.0013664
34,74.0004,1.40027,1.49586,1.41227,0.85685,0.59877,0.62612,0.3054,2.10188,1.56399,2.21429,0.0013466,0.0013466,0.0013466
35,76.0773,1.38691,1.4483,1.4559,1,0.58488,0.72184,0.36217,2.08391,1.47982,2.08718,0.0013268,0.0013268,0.0013268
36,78.1873,1.34705,1.36606,1.40534,0.98189,0.6,0.76858,0.40225,1.95167,1.46607,1.88181,0.001307,0.001307,0.001307
37,80.4474,1.40494,1.37165,1.39251,0.98189,0.6,0.76858,0.40225,1.95167,1.46607,1.88181,0.0012872,0.0012872,0.0012872
38,82.6075,1.30121,1.34677,1.34049,0.95731,0.6,0.79262,0.39182,1.92178,1.77261,1.87229,0.0012674,0.0012674,0.0012674
39,84.7083,1.2793,1.30694,1.33465,0.84016,0.8,0.84778,0.40394,1.83383,1.70258,1.78859,0.0012476,0.0012476,0.0012476
40,86.84,1.21196,1.25478,1.28945,0.84016,0.8,0.84778,0.40394,1.83383,1.70258,1.78859,0.0012278,0.0012278,0.0012278
41,89.1143,1.27994,1.35208,1.30236,0.79358,0.77112,0.8139,0.42595,1.81495,1.60929,1.71698,0.001208,0.001208,0.001208
42,91.2118,1.31071,1.28479,1.39418,0.79578,0.9,0.84195,0.46806,1.84954,1.38449,1.69144,0.0011882,0.0011882,0.0011882
43,93.3304,1.29957,1.30007,1.3489,0.79578,0.9,0.84195,0.46806,1.84954,1.38449,1.69144,0.0011684,0.0011684,0.0011684
44,95.434,1.39181,1.35755,1.40319,1,0.88565,0.895,0.51892,1.68589,1.28826,1.55896,0.0011486,0.0011486,0.0011486
45,97.6297,1.25489,1.30003,1.32339,0.79468,0.9,0.86686,0.50713,1.69849,1.28902,1.62083,0.0011288,0.0011288,0.0011288
46,99.7469,1.34844,1.34257,1.3725,0.79468,0.9,0.86686,0.50713,1.69849,1.28902,1.62083,0.001109,0.001109,0.001109
47,101.873,1.36615,1.30526,1.38451,0.80336,0.9,0.81015,0.37641,1.92571,1.40588,1.76114,0.0010892,0.0010892,0.0010892
48,104.075,1.31795,1.23676,1.37315,0.81783,0.89809,0.81709,0.31923,1.98575,1.45768,1.67893,0.0010694,0.0010694,0.0010694
49,106.386,1.18184,1.23427,1.28548,0.81783,0.89809,0.81709,0.31923,1.98575,1.45768,1.67893,0.0010496,0.0010496,0.0010496
50,108.653,1.25697,1.32836,1.333,0.70688,0.72524,0.78808,0.33803,1.90239,1.44973,1.65742,0.0010298,0.0010298,0.0010298
51,110.871,1.19406,1.18162,1.28575,1,0.78107,0.84762,0.40457,1.79223,1.44946,1.5993,0.00101,0.00101,0.00101
52,113.02,1.15034,1.18785,1.25793,1,0.78107,0.84762,0.40457,1.79223,1.44946,1.5993,0.0009902,0.0009902,0.0009902
53,115.325,1.33398,1.31137,1.40977,0.88084,0.9,0.87589,0.41377,1.78259,1.329,1.55027,0.0009704,0.0009704,0.0009704
54,117.451,1.26263,1.25232,1.34819,0.88084,0.9,0.87589,0.41377,1.78259,1.329,1.55027,0.0009506,0.0009506,0.0009506
55,119.699,1.1571,1.09736,1.25444,0.87528,0.8,0.84876,0.44462,1.66237,1.30182,1.47157,0.0009308,0.0009308,0.0009308
56,121.882,1.1868,1.18091,1.28357,0.88608,0.7798,0.83198,0.42407,1.64233,1.28934,1.46261,0.000911,0.000911,0.000911
57,124.17,1.29034,1.25575,1.31775,0.88608,0.7798,0.83198,0.42407,1.64233,1.28934,1.46261,0.0008912,0.0008912,0.0008912
58,126.381,1.25406,1.2218,1.34018,0.99306,0.7,0.83207,0.41769,1.57006,1.19893,1.41683,0.0008714,0.0008714,0.0008714
59,128.717,1.11445,1.09912,1.24386,0.99073,0.7,0.8322,0.41959,1.5278,1.15574,1.43618,0.0008516,0.0008516,0.0008516
60,130.937,1.14872,1.16167,1.25386,0.99073,0.7,0.8322,0.41959,1.5278,1.15574,1.43618,0.0008318,0.0008318,0.0008318
61,133.205,1.00582,1.0886,1.24019,0.88622,0.7808,0.8454,0.44533,1.54783,1.17748,1.45893,0.000812,0.000812,0.000812
62,135.463,1.03587,1.03466,1.21899,0.88709,0.78707,0.8497,0.43039,1.55635,1.21258,1.47484,0.0007922,0.0007922,0.0007922
63,137.857,1.15975,1.14326,1.31226,0.88709,0.78707,0.8497,0.43039,1.55635,1.21258,1.47484,0.0007724,0.0007724,0.0007724
64,140.13,1.00628,1.11375,1.21515,0.88761,0.79082,0.83764,0.4756,1.45892,1.16109,1.43002,0.0007526,0.0007526,0.0007526
65,142.374,1.10313,1.11545,1.24809,0.88817,0.79481,0.83721,0.45671,1.4905,1.16649,1.44824,0.0007328,0.0007328,0.0007328
66,144.603,1.12877,1.06923,1.21288,0.88817,0.79481,0.83721,0.45671,1.4905,1.16649,1.44824,0.000713,0.000713,0.000713
